"No.","Time","Source","Destination","Protocol","Length","Info"
"2053","33.664644196","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60812 [ACK] Seq=140147 Ack=2376 Win=31488 Len=1380 TSval=1621057839 TSecr=1172677002 [TCP segment of a reassembled PDU]"
"2054","33.664686921","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=141527 Win=146688 Len=0 TSval=1172677049 TSecr=1621057838"
"2055","33.665145200","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2056","33.666445740","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2057","33.666469696","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=144287 Win=152192 Len=0 TSval=1172677051 TSecr=1621057839"
"2058","33.667224396","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60812 [PSH, ACK] Seq=144287 Ack=2376 Win=31488 Len=1380 TSval=1621057841 TSecr=1172677002 [TCP segment of a reassembled PDU]"
"2059","33.668838551","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2060","33.668878891","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=147047 Win=157696 Len=0 TSval=1172677053 TSecr=1621057841"
"2061","33.669931451","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2062","33.671458047","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2063","33.671470987","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=149807 Win=163200 Len=0 TSval=1172677056 TSecr=1621057843"
"2064","33.672227579","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2065","33.673494674","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60812 [ACK] Seq=151187 Ack=2376 Win=31488 Len=1380 TSval=1621057846 TSecr=1172677008 [TCP segment of a reassembled PDU]"
"2066","33.673506191","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=152567 Win=168832 Len=0 TSval=1172677058 TSecr=1621057844"
"2067","33.674180863","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1357","Application Data, Application Data"
